Lemma-id	Grunnform	Funksjon	BOB-koder normerte	Normerte para-koder Nr2000
52435	polit.	fork	fork	1001
50788	p	symb	symb	1004
50817	paed.	fork	fork	1001
53798	psychol.	fork	fork	1001
51045	pappe	lemma	v1	001 010 011
53166	prikke	lemma	subst	999
53252	pris	lemma	subst	999
51704	pers	lemma	subst	999
51805	pf.	fork	fork	1001
51809	pharm.	fork	fork	1001
51810	philol.	fork	fork	1001
51811	philos.	fork	fork	1001
51313	passant	lemma		
65039	sr.	fork	fork	1001
64518	spille	lemma	subst	999
62954	slutter	lemma	m2	712
62994	sløkke	lemma		
63177	smitt	lemma	subst	790
63194	smug	lemma	subst	999
64279	spe	lemma	subst	999
62155	skuve	lemma		
64426	spent	lemma	adv	695
61840	skru	lemma	v4	040
61862	skrue	lemma		
63405	snart	lemma	adv	649
61905	skruve	lemma		
63831	sol	lemma	m	701
58600	senk	lemma	subst	999
60450	skakke	lemma	subst	999
60452	skal	lemma		
59514	sivil	lemma	subst	999
59310	sine	lemma	v1	001 010 011
59318	sing.	fork	fork	1001
59345	sinke	lemma		
57892	seinke	lemma		
58097	selv om	uttr	sub	693
58966	si	lemma	m	701
58967	si	lemma	subst	999
58982	sida	lemma	m1	700
60387	ska	lemma		
60399	skade	lemma	v1#v3	001 010 011 030
59067	sigende	lemma	subst	890
72068	tusenvis	lemma	adv	695
69626	tilnærme	lemma	v1	001 010 011
70086	tjuvtitte	lemma	v1	001 010 011
70108	to	lemma	m1#n1	700 800 810
70143	toe	lemma	v1	001 010 011
71229	triplo	lemma		
70259	tom	lemma	m	725
69265	ti	lemma	adv	695
69266	ti	lemma	m1	700
67340	svøm	lemma	subst	999
68335	tall	lemma	f1#m1	700 900
66328	sturten	lemma	m	791
66375	stykk	lemma	subst	890
66453	stå	lemma	subst	999
66522	størst	lemma	a2	518
65148	stampe	lemma	subst	999
65384	ste	lemma	v4	040
67103	sved	lemma	subst	790
65398	stede	lemma	v3	030
67629	syne	lemma	subst	999
65504	stele	lemma		
67768	så	lemma	f1#m1	700 900
67774	så sant	uttr		
65648	sto	lemma	n1	800 810
77860	velgående	lemma	subst	890
78123	vente	lemma	subst	999
76247	vann	lemma	adv	695
78752	vidvanke	lemma	subst	999
78177	verd	lemma	m1	700
78179	verd	lemma	f1#m1	700 900
76595	var	lemma	m1	700
78968	vinde	lemma	f1#m1	702 902
78406	verre	lemma	adj	519
78460	verst	lemma	a2	518
78461	verst	lemma	m	715
77301	vedkommende	lemma	subst	890
78521	vesle	lemma	a3	513
78621	vet.	fork	fork	1001
78646	veum	lemma	subst	999
77697	vekke	lemma	f1#m1	702 902
75877	va	lemma	v4	040
77804	velberådd	lemma	a2	518
73577	undas	lemma	adv	695
73401	ulag	lemma	subst	890
